"season_start_year","comp_url","country","n_pais","team_urls"
2024,"https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA","Peru",NA,"https://www.transfermarkt.com/deportivo-garcilaso/startseite/verein/76945/saison_id/2024"
2024,"https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA","Peru",NA,"https://www.transfermarkt.com/cultural-santa-rosa/startseite/verein/54478/saison_id/2024"
2024,"https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA","Peru",NA,"https://www.transfermarkt.com/club-juan-pablo-ii/startseite/verein/99517/saison_id/2024"
2024,"https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA","Peru",NA,"https://www.transfermarkt.com/comerciantes-unidos/startseite/verein/47107/saison_id/2024"
2024,"https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA","Peru",NA,"https://www.transfermarkt.com/deportivo-binacional/startseite/verein/41054/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/bolivar-la-paz/startseite/verein/6878/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/the-strongest-la-paz/startseite/verein/5570/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/club-always-ready/startseite/verein/42208/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/blooming-santa-cruz/startseite/verein/8056/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/ca-nacional-potosi/startseite/verein/23171/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/san-antonio-bulo/startseite/verein/92979/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/universitario-de-vinto/startseite/verein/92977/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/club-deportivo-guabira/startseite/verein/17422/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/cd-oriente-petrolero/startseite/verein/6985/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/cd-real-tomayapo/startseite/verein/75558/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/club-aurora/startseite/verein/12621/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/club-deportivo-san-jose/startseite/verein/17314/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/club-jorge-wilstermann/startseite/verein/4862/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/club-independiente-petrolero/startseite/verein/30854/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/club-a-b-b-/startseite/verein/93043/saison_id/2024"
2024,"https://www.transfermarkt.es/division-profesional-apertura/startseite/wettbewerb/B1AP","Bolivia",NA,"https://www.transfermarkt.com/real-oruro/startseite/verein/100047/saison_id/2024"
